UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
114734,4,3,69,30,39
114761,1,999,126,5,121
114761,2,1,126,5,121
114789,1,999,32524,15597,16927
114789,2,1,32524,15597,16927
114813,1,999,5027,1897,3130
114813,2,1,3617,1496,2121
114813,4,3,1410,401,1009
114840,1,999,4414,2922,1492
114840,4,3,4414,2922,1492
114859,1,999,31415,15099,16316
114859,2,1,31415,15099,16316
114895,1,999,195,24,171
114895,2,1,195,24,171
114938,1,999,12835,7267,5568
114938,2,1,12835,7267,5568
114947,1,999,7379,2527,4852
114947,2,1,7379,2527,4852
115001,1,999,22282,9924,12358
115001,2,1,22282,9924,12358
115010,1,999,499,155,344
115010,2,1,499,155,344
115083,1,999,5002,2227,2775
115083,2,1,616,288,328
115083,4,3,4386,1939,2447
115126,1,999,19785,9158,10627
115126,2,1,19785,9158,10627
115214,1,999,282,150,132
115214,4,3,282,150,132
115296,1,999,28040,12242,15798
115296,2,1,28040,12242,15798
115357,1,999,82,5,77
115357,2,1,82,5,77
115393,1,999,14412,7598,6814
115393,2,1,14412,7598,6814
115409,1,999,823,488,335
115409,2,1,823,488,335
115454,1,999,2347,750,1597
115454,2,1,2347,750,1597
115472,1,999,3366,1090,2276
115472,2,1,3366,1090,2276
115490,1,999,2689,914,1775
115490,2,1,2689,914,1775
115515,1,999,2477,863,1614
115515,2,1,2477,863,1614
115533,1,999,2477,863,1614
115533,2,1,2477,863,1614
115658,1,999,264,22,242
115658,2,1,264,22,242
115728,1,999,1448,356,1092
115728,2,1,870,213,657
115728,4,3,578,143,435
115746,1,999,911,243,668
115746,4,3,911,243,668
115755,1,999,8446,3883,4563
115755,2,1,7750,3606,4144
115755,4,3,696,277,419
115773,1,999,1638,355,1283
115773,2,1,1360,264,1096
115773,4,3,278,91,187
115861,1,999,11579,5143,6436
115861,2,1,11579,5143,6436
115931,1,999,895,532,363
115931,2,1,895,532,363
116040,1,999,1636,230,1406
116040,2,1,1636,230,1406
116226,1,999,530,39,491
116226,2,1,521,38,483
116226,4,3,9,1,8
116350,1,999,371,58,313
116350,2,1,371,58,313
116439,1,999,23330,10773,12557
116439,2,1,23330,10773,12557
116466,1,999,2770,2274,496
116466,2,1,2770,2274,496
116475,1,999,1220,981,239
116475,2,1,1220,981,239
